crash_date,crash_time,on_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,borough,zip_code,latitude,longitude,location,cross_street_name,contributing_factor_vehicle_3,vehicle_type_code_3,contributing_factor_vehicle_4,vehicle_type_code_4,contributing_factor_vehicle_5,vehicle_type_code_5
2021-12-13T00:00:00.000,0:34,MYRTLE AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4486934,Station Wagon/Sport Utility Vehicle,,,,40.701275,-73.88887,"{'latitude': '40.701275', 'longitude': '-73.88887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,16:50,SPRINGFIELD BOULEVARD,EAST GATE PLAZA,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,4487127,Sedan,Station Wagon/Sport Utility Vehicle,QUEENS,11413,40.675884,-73.75577,"{'latitude': '40.675884', 'longitude': '-73.75577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,8:30,broadway,west 80 street -west 81 street,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,4486634,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,,,,,,,
2021-12-14T00:00:00.000,0:59,BELT PARKWAY,,0,0,0,0,0,0,0,0,Unsafe Speed,,4486564,Sedan,,,,40.59662,-74.00231,"{'latitude': '40.59662', 'longitude': '-74.00231', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,23:10,NORTH CONDUIT AVENUE,150 STREET,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,4486635,Sedan,Sedan,QUEENS,11434,40.66684,-73.78941,"{'latitude': '40.66684', 'longitude': '-73.78941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,17:58,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486604,Tanker,Station Wagon/Sport Utility Vehicle,BROOKLYN,11217,40.68158,-73.97463,"{'latitude': '40.68158', 'longitude': '-73.97463', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",480       DEAN STREET,,,,,,
2021-12-14T00:00:00.000,20:03,,,4,0,0,0,0,0,4,0,Steering Failure,,4486991,Sedan,,BROOKLYN,11226,40.65068,-73.95881,"{'latitude': '40.65068', 'longitude': '-73.95881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",878       FLATBUSH AVENUE,,,,,,
2021-12-14T00:00:00.000,1:28,MEEKER AVENUE,LORIMER STREET,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,4486284,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,,,,,,,,,
2021-12-11T00:00:00.000,19:43,WEST KINGSBRIDGE ROAD,HEATH AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4487040,Station Wagon/Sport Utility Vehicle,Sedan,BRONX,10463,40.87262,-73.904686,"{'latitude': '40.87262', 'longitude': '-73.904686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,14:30,WHITESTONE EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4486537,Station Wagon/Sport Utility Vehicle,Sedan,,,40.783268,-73.82485,"{'latitude': '40.783268', 'longitude': '-73.82485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Unspecified,Sedan,,,,
2021-12-11T00:00:00.000,4:45,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4486905,Station Wagon/Sport Utility Vehicle,,MANHATTAN,10001,40.748917,-73.993546,"{'latitude': '40.748917', 'longitude': '-73.993546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",232       WEST 30 STREET,,,,,,
2021-12-14T00:00:00.000,5:46,LONG ISLAND EXPRESSWAY,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,4487122,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,40.744644,-73.77041,"{'latitude': '40.744644', 'longitude': '-73.77041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-13T00:00:00.000,6:30,82 STREET,34 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,4486967,Sedan,,QUEENS,11372,40.75373,-73.88505,"{'latitude': '40.75373', 'longitude': '-73.88505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,3:43,LEXINGTON AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,4486304,Station Wagon/Sport Utility Vehicle,,,,40.804375,-73.93742,"{'latitude': '40.804375', 'longitude': '-73.93742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-13T00:00:00.000,17:40,VICTORY BOULEVARD,WOODSTOCK AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4487001,Sedan,Sedan,STATEN ISLAND,10301,40.63165,-74.08762,"{'latitude': '40.63165', 'longitude': '-74.08762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,17:31,EAST 18 STREET,AVENUE K,1,0,1,0,0,0,0,0,Unspecified,,4486516,Sedan,,BROOKLYN,11230,40.623104,-73.95809,"{'latitude': '40.623104', 'longitude': '-73.95809', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,20:13,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486605,Sedan,,BROOKLYN,11215,40.66576,-73.9845,"{'latitude': '40.66576', 'longitude': '-73.9845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",366       12 STREET,,,,,,
2021-12-14T00:00:00.000,12:54,FULTON STREET,SAINT FELIX STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,4487052,Sedan,Bike,BROOKLYN,11217,40.687534,-73.9775,"{'latitude': '40.687534', 'longitude': '-73.9775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,17:15,GRAND STREET,UNION AVENUE,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,4486556,Bus,Station Wagon/Sport Utility Vehicle,BROOKLYN,11211,40.710957,-73.951126,"{'latitude': '40.710957', 'longitude': '-73.951126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-14T00:00:00.000,22:49,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4486875,Taxi,,BRONX,10455,40.81813,-73.910126,"{'latitude': '40.81813', 'longitude': '-73.910126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",713       EAGLE AVENUE,,,,,,
2021-12-12T00:00:00.000,9:00,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486933,Station Wagon/Sport Utility Vehicle,,QUEENS,11385,40.70447,-73.90148,"{'latitude': '40.70447', 'longitude': '-73.90148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",59-14     67 AVENUE,,,,,,
2021-12-14T00:00:00.000,16:25,EAST 93 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4486581,Van,Bike,,,40.784615,-73.953964,"{'latitude': '40.784615', 'longitude': '-73.953964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-04-14T00:00:00.000,14:30,EASTCHESTER ROAD,PELHAM PARKWAY NORTH,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4407520,Bus,,,,,,,,,,,,,
2021-12-16T00:00:00.000,6:59,KINGSLAND AVENUE,MEEKER AVENUE,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,4486960,,,,,,,,,,,,,,
2022-06-29T00:00:00.000,16:00,WILLIAMSBURG BRIDGE OUTER ROADWA,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4542336,Motorscooter,Station Wagon/Sport Utility Vehicle,,,,,,,,,,,,
2021-04-15T00:00:00.000,16:15,HUTCHINSON RIVER PARKWAY,,0,0,0,0,0,0,0,0,Pavement Slippery,,4407665,Station Wagon/Sport Utility Vehicle,,,,,,,,,,,,,
2021-07-07T00:00:00.000,11:42,THROGS NECK BRIDGE,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,4456591,Sedan,Sedan,,,,,,,,,,,,
2022-07-12T00:00:00.000,17:50,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,4545699,Sedan,,BROOKLYN,11225,40.663303,-73.96049,"{'latitude': '40.663303', 'longitude': '-73.96049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44        EMPIRE BOULEVARD,,,,,,
2022-03-23T00:00:00.000,10:00,,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,4512922,Bike,,,,,,,71        EAST DRIVE,,,,,,
2021-07-09T00:00:00.000,0:43,ELIOT AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,4456659,Bus,,,,40.720535,-73.88885,"{'latitude': '40.720535', 'longitude': '-73.88885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,16:45,STATEN ISLAND EXPRESSWAY,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4521660,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,40.607685,-74.13892,"{'latitude': '40.607685', 'longitude': '-74.13892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,4:49,BOSTON ROAD,BRONX PARK EAST,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4521759,Station Wagon/Sport Utility Vehicle,Sedan,,,40.855972,-73.869896,"{'latitude': '40.855972', 'longitude': '-73.869896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-22T00:00:00.000,17:17,EAST 107 STREET,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,4522226,E-Bike,,,,40.790276,-73.9396,"{'latitude': '40.790276', 'longitude': '-73.9396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,1:30,,,0,0,0,0,0,0,0,0,Unspecified,,4522015,Station Wagon/Sport Utility Vehicle,,BROOKLYN,11220,40.642986,-74.01621,"{'latitude': '40.642986', 'longitude': '-74.01621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5610      4 AVENUE,,,,,,
2022-04-24T00:00:00.000,6:00,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,4521460,Sedan,Station Wagon/Sport Utility Vehicle,QUEENS,11411,0.0000000,0.0000000,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",116-44    234 STREET,,,,,,
2022-04-24T00:00:00.000,21:40,BOSCOBEL PLACE,UNIVERSITY AVENUE,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,4522156,Taxi,Station Wagon/Sport Utility Vehicle,BRONX,10452,40.843906,-73.92413,"{'latitude': '40.843906', 'longitude': '-73.92413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,17:45,BRONX RIVER PARKWAY,EAST 233 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4521633,Sedan,,BRONX,10466,40.89481,-73.86183,"{'latitude': '40.89481', 'longitude': '-73.86183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-15T00:00:00.000,6:11,EAST 162 STREET,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4522124,Station Wagon/Sport Utility Vehicle,E-Scooter,,,0.0000000,0.0000000,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,9:51,CROSS BRONX EXPY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4521937,Sedan,,,,40.85169,-73.95238,"{'latitude': '40.85169', 'longitude': '-73.95238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,0:00,MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4521801,Sedan,,BRONX,10453,40.861862,-73.91275,"{'latitude': '40.861862', 'longitude': '-73.91275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-03-08T00:00:00.000,20:00,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4522285,Sedan,,BROOKLYN,11207,40.666256,-73.900215,"{'latitude': '40.666256', 'longitude': '-73.900215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",360       SNEDIKER AVENUE,,,,,,
2022-04-24T00:00:00.000,15:35,WEST 56 STREET,9 AVENUE,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,4521853,Station Wagon/Sport Utility Vehicle,Bike,MANHATTAN,10019,40.767242,-73.986206,"{'latitude': '40.767242', 'longitude': '-73.986206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-22T00:00:00.000,12:00,AVENUE J,OCEAN PARKWAY,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4522228,Sedan,Pick-up Truck,BROOKLYN,11230,40.62417,-73.97048,"{'latitude': '40.62417', 'longitude': '-73.97048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,13:10,SAINT MARKS AVENUE,6 AVENUE,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,4521702,Station Wagon/Sport Utility Vehicle,,,,40.679955,-73.97491,"{'latitude': '40.679955', 'longitude': '-73.97491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,4:20,THROOP AVENUE,DE KALB AVENUE,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,4522167,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,BROOKLYN,11221,40.692356,-73.94282,"{'latitude': '40.692356', 'longitude': '-73.94282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-20T00:00:00.000,19:37,HENRY HUDSON PARKWAY,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4522196,Sedan,Station Wagon/Sport Utility Vehicle,,,40.78291,-73.98578,"{'latitude': '40.78291', 'longitude': '-73.98578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,16:14,ROCKAWAY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4521758,Sedan,Sedan,,,40.67308,-73.91124,"{'latitude': '40.67308', 'longitude': '-73.91124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-12T00:00:00.000,19:56,UTICA AVENUE,SNYDER AVENUE,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,4522136,Station Wagon/Sport Utility Vehicle,,BROOKLYN,11203,40.65011,-73.930214,"{'latitude': '40.65011', 'longitude': '-73.930214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,0:30,BELT PARKWAY,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4521469,Sedan,Sedan,,,40.638382,-74.03668,"{'latitude': '40.638382', 'longitude': '-74.03668', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Station Wagon/Sport Utility Vehicle,,
2022-04-24T00:00:00.000,20:13,,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,,4521859,Sedan,,QUEENS,11419,40.69261,-73.81143,"{'latitude': '40.69261', 'longitude': '-73.81143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",102-24    VANWYCK EXPRESSWAY,,,,,,
2022-04-24T00:00:00.000,15:21,THOMSON AVENUE,SKILLMAN AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4521590,Sedan,Sedan,QUEENS,11101,40.745235,-73.937706,"{'latitude': '40.745235', 'longitude': '-73.937706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,10:27,VANWYCK EXPRESSWAY,109 AVENUE,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,4521902,Sedan,Station Wagon/Sport Utility Vehicle,,,,,,,,,,,,
2022-04-24T00:00:00.000,21:00,21 STREET,37 AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4521684,Sedan,Sedan,QUEENS,11106,40.758705,-73.93793,"{'latitude': '40.758705', 'longitude': '-73.93793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-24T00:00:00.000,21:40,JAMAICA AVENUE,102 STREET,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,4521858,Ambulance,Station Wagon/Sport Utility Vehicle,QUEENS,11418,40.695156,-73.845406,"{'latitude': '40.695156', 'longitude': '-73.845406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2022-04-07T00:00:00.000,14:14,1 AVENUE,EAST 41 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,4522242,Sedan,Station Wagon/Sport Utility Vehicle,MANHATTAN,10017,40.748158,-73.97033,"{'latitude': '40.748158', 'longitude': '-73.97033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-06-29T00:00:00.000,17:35,BEACH CHANNEL DRIVE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4456672,Station Wagon/Sport Utility Vehicle,E-Bike,,,40.609535,-73.75372,"{'latitude': '40.609535', 'longitude': '-73.75372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-09T00:00:00.000,20:20,EAST 7 STREET,CRAWFORD AVENUE,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,4485150,Bike,,BROOKLYN,11223,40.59207,-73.96299,"{'latitude': '40.59207', 'longitude': '-73.96299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-09T00:00:00.000,14:50,WEST 177 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4485116,Station Wagon/Sport Utility Vehicle,Sedan,,,40.850018,-73.9107,"{'latitude': '40.850018', 'longitude': '-73.9107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-09T00:00:00.000,2:45,149 AVENUE,HUXLEY STREET,1,0,0,0,0,0,1,0,Alcohol Involvement,,4485026,Sedan,,QUEENS,11422,40.653023,-73.73895,"{'latitude': '40.653023', 'longitude': '-73.73895', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-06T00:00:00.000,22:16,AVENUE J,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4485528,Sedan,,,,40.62573,-73.9564,"{'latitude': '40.62573', 'longitude': '-73.9564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-04T00:00:00.000,12:00,CROWN STREET,SCHENECTADY AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4485333,Sedan,Ambulance,BROOKLYN,11213,40.665375,-73.934235,"{'latitude': '40.665375', 'longitude': '-73.934235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-08T00:00:00.000,16:20,EAST END AVENUE,EAST 88 STREET,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,4485234,Taxi,Station Wagon/Sport Utility Vehicle,MANHATTAN,10128,40.776237,-73.943825,"{'latitude': '40.776237', 'longitude': '-73.943825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-09T00:00:00.000,23:15,12 AVENUE,41 STREET,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4485355,Sedan,Bike,BROOKLYN,11218,40.640835,-73.98967,"{'latitude': '40.640835', 'longitude': '-73.98967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-01T00:00:00.000,14:34,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4485581,Sedan,Pick-up Truck,QUEENS,11692,40.593636,-73.797264,"{'latitude': '40.593636', 'longitude': '-73.797264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",437       BEACH 68 STREET,,,,,,
2021-12-10T00:00:00.000,7:00,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4485866,Sedan,,QUEENS,11420,40.674263,-73.80453,"{'latitude': '40.674263', 'longitude': '-73.80453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",122-42    134 STREET,,,,,,
2021-12-07T00:00:00.000,9:20,TAYLOR STREET,,0,0,0,0,0,0,0,0,Steering Failure,,4485192,Station Wagon/Sport Utility Vehicle,,,,40.70476,-73.96491,"{'latitude': '40.70476', 'longitude': '-73.96491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-09T00:00:00.000,8:00,WEST SHORE EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4485214,Sedan,Station Wagon/Sport Utility Vehicle,,,40.569626,-74.190735,"{'latitude': '40.569626', 'longitude': '-74.190735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-07T00:00:00.000,17:08,FLUSHING AVENUE,KENT AVENUE,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4485437,,,BROOKLYN,11205,40.698463,-73.960205,"{'latitude': '40.698463', 'longitude': '-73.960205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
2021-12-05T00:00:00.000,8:20,,,0,0,0,0,0,0,0,0,Unspecified,,4485408,Sedan,,BROOKLYN,11212,40.658413,-73.9171,"{'latitude': '40.658413', 'longitude': '-73.9171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",393       ROCKAWAY PARKWAY,,,,,,
2021-12-08T00:00:00.000,19:30,,,1,0,0,0,1,0,0,0,Following Too Closely,Reaction to Uninvolved Vehicle,4484852,Station Wagon/Sport Utility Vehicle,Bike,MANHATTAN,10022,40.76175,-73.96899,"{'latitude': '40.76175', 'longitude': '-73.96899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",127       EAST 58 STREET,,,,,,
