collision_id,crash_date,crash_time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code1,vehicle_type_code2
4514217,2022-03-25T00:00:00.000,9:55,QUEENS,11101.0,40.743534,-73.93951,28 STREET,,47 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Sedan
4456903,2021-09-01T00:00:00.000,19:30,QUEENS,11434.0,40.678364,-73.77949,BREWER BOULEVARD,,BAISLEY BOULEVARD,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,Sedan,
4456982,2021-09-10T00:00:00.000,15:20,MANHATTAN,10013.0,40.724274,-74.01136,WEST STREET,,WATTS STREET,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Sedan,E-Bike
4456104,2021-09-11T00:00:00.000,14:34,MANHATTAN,10031.0,40.8188,-73.956024,BROADWAY,,WEST 133 STREET,0,0,0,0,0,0,0,0,Driver Inexperience,,Box Truck,
4456860,2021-09-10T00:00:00.000,9:00,QUEENS,11433.0,40.69558,-73.788704,,164-21 109 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Pick-up Truck,
4456454,2021-09-11T00:00:00.000,3:25,,,40.80484,-73.912796,JACKSON AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Pick-up Truck,Sedan
4455840,2021-09-11T00:00:00.000,1:00,BROOKLYN,11225.0,40.658466,-73.96049,,609 FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Pick-up Truck,Sedan
4456235,2021-09-11T00:00:00.000,11:25,BRONX,10468.0,40.868164,-73.90054,,79 WEST KINGSBRIDGE ROAD,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Bike
4455935,2021-09-11T00:00:00.000,21:30,BROOKLYN,11225.0,40.66169,-73.96143,FLATBUSH AVENUE,,LEFFERTS AVENUE,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,Sedan,Chassis Cab
4456710,2021-07-09T00:00:00.000,12:30,BRONX,10467.0,40.87037,-73.87052,,2970 BRONX PARK EAST,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,E-Bike,E-Bike
4457021,2021-09-05T00:00:00.000,21:18,QUEENS,11412.0,40.69674,-73.76292,114 DRIVE,,MEXICO STREET,5,0,0,0,0,0,5,0,Unspecified,Unspecified,Sedan,Sedan
4456296,2021-09-11T00:00:00.000,3:00,BROOKLYN,11207.0,40.65958,-73.89247,SHEFFIELD AVENUE,,HEGEMAN AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4456043,2021-09-11T00:00:00.000,11:30,,,40.83232,-73.87395,BRONX RIVER PARKWAY,,,3,0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan
4456227,2021-09-11T00:00:00.000,21:35,QUEENS,11385.0,40.708534,-73.914925,DE KALB AVENUE,,ONDERDONK AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4456682,2021-07-08T00:00:00.000,16:04,QUEENS,11105.0,40.777496,-73.90784,,31-20 21 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,Sedan,
4456576,2021-07-02T00:00:00.000,14:00,,,40.83406,-73.944885,BROADWAY,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,
4456134,2021-09-11T00:00:00.000,23:20,QUEENS,11430.0,40.66615,-73.80575,SOUTH CONDUIT AVENUE,,134 STREET,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4456605,2021-07-08T00:00:00.000,15:15,MANHATTAN,10039.0,40.82324,-73.938835,,211 WEST 147 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Sedan,
4456699,2021-07-09T00:00:00.000,12:22,QUEENS,11435.0,40.6974,-73.80952,143 STREET,,95 AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Bus,Station Wagon/Sport Utility Vehicle
4456650,2021-07-09T00:00:00.000,3:25,QUEENS,11434.0,40.67897,-73.75985,MERRICK BOULEVARD,,BELKNAP STREET,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Sedan,
4456752,2021-09-11T00:00:00.000,2:05,STATEN ISLAND,10304.0,40.590313,-74.09794,GARRETSON AVENUE,,JEFFERSON STREET,0,0,0,0,0,0,0,0,Animals Action,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4456637,2021-07-09T00:00:00.000,0:00,BROOKLYN,11239.0,40.654343,-73.864204,,11629 SEAVIEW AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,
4456769,2021-09-11T00:00:00.000,15:30,STATEN ISLAND,10310.0,40.62782,-74.12126,FOREST AVENUE,,CLOVE ROAD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Sedan
4456786,2021-09-10T00:00:00.000,21:27,,,40.592037,-74.15436,,1128 ROCKLAND AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Sedan,
4456798,2021-09-08T00:00:00.000,10:10,,,40.79293,-73.950005,EAST 105 STREET,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Failure to Yield Right-of-Way,Sedan,Bike
4456410,2021-09-11T00:00:00.000,10:00,,,40.8452,-73.916885,CROSS BRONX EXPY,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,,Motorcycle,
